ticker,market_date,volume,previous_volume,daily_change
BTC,2021-08-01,80330,44650,79.91
BTC,2021-08-02,74810,80330,-6.87
BTC,2021-08-03,260,74810,-99.65
BTC,2021-08-04,79220,260,30369.23
BTC,2021-08-05,130600,79220,64.86
BTC,2021-08-06,111930,130600,-14.3
BTC,2021-08-07,112840,111930,0.81
BTC,2021-08-08,105250,112840,-6.73
BTC,2021-08-09,117080,105250,11.24
BTC,2021-08-10,80550,117080,-31.2
ETH,2021-08-01,1200000,507080,136.65
ETH,2021-08-02,970670,1200000,-19.11
ETH,2021-08-03,158450,970670,-83.68
ETH,2021-08-04,1230000,158450,676.27
ETH,2021-08-05,1650000,1230000,34.15
ETH,2021-08-06,1060000,1650000,-35.76
ETH,2021-08-07,64840,1060000,-93.88
ETH,2021-08-08,1250000,64840,1827.82
ETH,2021-08-09,1440000,1250000,15.2
ETH,2021-08-10,1120000,1440000,-22.22
