ticker,month_start,cumulative_monthly_volume
BTC,2020-01-01,23451920
BTC,2020-02-01,46839130
BTC,2020-03-01,94680450
BTC,2020-04-01,134302740
BTC,2020-05-01,172687010
BTC,2020-06-01,188026610
BTC,2020-07-01,201272600
BTC,2020-08-01,216762630
BTC,2020-09-01,300641440
BTC,2020-10-01,303060020
BTC,2020-11-01,307220090
BTC,2020-12-01,311045880
ETH,2020-01-01,412070000
ETH,2020-02-01,969850000
ETH,2020-03-01,1765210000
ETH,2020-04-01,2520430000
ETH,2020-05-01,3067520000
ETH,2020-06-01,3286870000
ETH,2020-07-01,3524140000
ETH,2020-08-01,3772290000
ETH,2020-09-01,4181770000
ETH,2020-10-01,4394990000
ETH,2020-11-01,4877850000
ETH,2020-12-01,5177300000
